"name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","languagedependence","average","numwanting","numcomments","numplays","numplays_month","news","blogs","podcast","boardgamedesigner_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","desc_word_count","dif_players","main_category","difficulty"
"Dragon Brew",2017,2,4,60,120,13,3,7.52696,11,68,203,1,0,8,3,1,1,0,313,2,"Fantasy","Complex"
"Nostra City",2009,3,5,60,60,12,3,6.36615,14,119,533,0,0,1,0,2,2,0,248,2,"Card Game","Simple"
"La Bataille de Preussisch-Eylau",1978,1,2,360,360,16,2,7.70407,13,56,30,0,0,0,0,3,3,3,99,1,"Wargame","Complex"
"Panthalos",2014,2,5,60,90,12,1,6.86489,20,61,254,0,2,2,4,1,1,0,115,3,"Fighting","Complex"
"Space Station",2011,2,6,60,60,12,3,6.61336,18,61,587,2,1,5,0,1,1,0,231,4,"Card Game","Simple"
"The Treasure of Isla Tortuga",2016,2,5,15,20,10,1,6.8956,3,34,670,3,0,0,0,1,1,0,258,3,"Card Game","Simple"
"Escape Room  The Game \u2013 Virtual Reality",2017,3,5,60,60,16,0,7.06287,28,40,349,5,0,1,1,0,3,0,201,2,"Other","Simple"
"Gen7  A Crossroads Game",2018,3,4,60,90,14,4,6.53174,88,98,1161,8,1,13,8,1,4,0,186,1,"Science Fiction","Simple"
"Eagles  Waterloo",1995,2,2,120,120,12,2,6.5889,19,132,361,0,0,6,0,1,1,0,220,0,"Card Game","Simple"
"Wilderness",2011,2,8,60,60,13,3,6.59902,54,100,641,1,1,5,1,2,1,0,475,6,"Adventure","Simple"
"1914  Glory's End \/ When Eagles Fight",2014,2,2,180,240,0,3,7.42979,21,79,166,1,0,0,0,1,1,0,1143,0,"Wargame","Complex"
"The Killing Ground",2002,2,4,300,300,12,0,8.00266,44,85,67,0,0,0,0,1,1,2,446,2,"Wargame","Complex"
